Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
13152,Public Administration,strategic planning in the Nigeria public service,4hrs 7min,12th,English/Hindi,Module 1: Introduction to Strategic Planning,Stakeholders Forum on National Strategy of Public Service Reform,https://www.youtube.com/watch?v=uu-RFZWatws
13153,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 1: The Future of Strategic Planning in the Public Sector,The Future of Strategic Planning in the Public Sector,https://www.youtube.com/watch?v=zzr94s2pZnQ
13154,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 1: An Introduction to Strategic Planning 1,An Introduction to Strategic Planning 1,https://www.youtube.com/watch?v=IArJqjJPTLI
13155,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,"Module 1: Keynote on Strategy By Michael Porter, Professor, Harvard Business School","Keynote on Strategy By Michael Porter, Professor, Harvard Business School",https://www.youtube.com/watch?v=EvvnoNAUPS0
13156,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 2: Steps in the Strategic Planning Process,The steps of the strategic planning process in under 15 minutes,https://www.youtube.com/watch?v=HQ6348u6o08
13157,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 2: The steps of the strategic planning process in under 15 minutes,How to Build Successful Public Sector Strategies |Planning and Strategy Management| Dubai | Meirc,https://www.youtube.com/watch?v=yq9kn781joM
13158,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 2: How to Build Successful Public Sector Strategies |Planning and Strategy Management| Dubai | Meirc,Definition of Strategy--Private/Public Sector Contrast,https://www.youtube.com/watch?v=2tLCHRT_88w
13159,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 2: Strategic Planning Process: How to Create a Strategic Plan,Business Morning: Analysing Nigeria's Public Sector Economy Pt 1,https://www.youtube.com/watch?v=UxKBNkLyANI
13160,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 3: Strategic Planning in the Nigerian Public Sector,Turning Strategy into Action in the Public Sector,https://www.youtube.com/watch?v=PL_su9yOY-Q
13161,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 3: Stakeholders Forum on National Strategy of Public Service Reform,Soft Skills | Leadership VS Management | Skills training | TutorialsPoint,https://www.youtube.com/watch?v=DwwBZn5duk8
13162,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 3: Restructuring  The Public Service in Nigeria,Strategic Management in Public Sector,https://www.youtube.com/watch?v=QJPl2ciHpKY
13163,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 3: How Nigeria’s civil service will be reformed for efficiency,Strategic Planning at Public and Independent Institutions with Tom Longin,https://www.youtube.com/watch?v=lHUQNR6nRuk
13164,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 4: Strategic Management in the Public Sector,HOS Signs MOU on Strategic Plan,https://www.youtube.com/watch?v=AyN6E7JLbZc
13165,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 4: Definition of Strategy--Private/Public Sector Contrast,Strategic Management In Public Sector,https://www.youtube.com/watch?v=UIAcx0sGw4Y
13166,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 4: Turning Strategy into Action in the Public Sector,ACCA P3 Chapter 3 Advantages and disadvantages of strategic planning,https://www.youtube.com/watch?v=PkUDCMXjp-E
13167,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 4: Strategic Management in Public Sector,City of London | Strategic Plan | Leading in Public Service,https://www.youtube.com/watch?v=K2IWXPOSV_E
13168,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 5: Strategic Planning at Public Institutions,Strategic Planning for Government Organizations,https://www.youtube.com/watch?v=goTObIeFOeM
13169,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 5: Strategic Planning at Public and Independent Institutions with Tom Longin,Strategic Planning Process: How to Create a Strategic Plan,https://www.youtube.com/watch?v=o0UXAhzTkHE
13170,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 5: HOS Signs MOU on Strategic Plan,Restructuring  The Public Service in Nigeria,https://www.youtube.com/watch?v=9Y7a8VHBFdA
13171,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 5: City of London | Strategic Plan | Leading in Public Service,How Nigeria’s civil service will be reformed for efficiency,https://www.youtube.com/watch?v=ddHEMbfX7do
13172,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 6: Strategic Planning for Government Organizations,Buhari Meets Heads Of Service On Strategy Plan,https://www.youtube.com/watch?v=Oglyk_wa6QM
13173,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 6: Strategic Planning for Government Organizations,Overview of the Strategic Planning Process,https://www.youtube.com/watch?v=s_OvXeUQV3o
13174,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 6: ACCA P3 Chapter 3 Advantages and disadvantages of strategic planning,How to create your strategic plan,https://www.youtube.com/watch?v=_Q5VwDCpszY
13175,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 6: Buhari Meets Heads Of Service On Strategy Plan,Strategic Planning and SWOT Analysis,https://www.youtube.com/watch?v=VTH_WsyoEeM
13176,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 7: Overview of the Strategic Planning Process,6 Steps to Successful Strategic Planning,https://www.youtube.com/watch?v=Mpqf6w5iBqI
13177,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 7: Overview of the Strategic Planning Process,How to Write a Great Information Technology Strategic Plan | Leadership | Vision | Tactics,https://www.youtube.com/watch?v=lnOBKhzdhS4
13178,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 7: How to create your strategic plan,What IS Strategic Planning,https://www.youtube.com/watch?v=iXzmAou_UUA
13179,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 7: Strategic Planning and SWOT Analysis,Strategic Plan Presentation,https://www.youtube.com/watch?v=3enoBhBFMrM
13180,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 8:  6 Steps to Successful Strategic Planning,Strategic Planning  - Strategies,https://www.youtube.com/watch?v=KXAnYWaaP0s
13181,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 8: 6 Steps to Successful Strategic Planning,Challenges of Strategic Planning,https://www.youtube.com/watch?v=-VokNknGKPA
13182,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 8: What IS Strategic Planning,Strategic Planning Overview,https://www.youtube.com/watch?v=qCbSos76_Io
13183,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 8: Strategic Plan Presentation,Strategy in the Public Sector,https://www.youtube.com/watch?v=yR6k9g_NpiQ
13184,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 9: Challenges and Strategies in Strategic Planning,CULTURAL FESTIVAL 2018,https://www.youtube.com/watch?v=xB7r-FRkJB4
13185,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 9: Strategic Planning  - Strategies,NTA Live Stream,https://www.youtube.com/watch?v=9oGvR-oZUkc
13186,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 9: Challenges of Strategic Planning,Prophet Muhammad ﷺ The Greatest man of all time | A Mercy to the World,https://www.youtube.com/watch?v=kCUiY0PWuGg
13187,Public Administration,strategic planning in the Nigeria public service,,12th,English/Hindi,Module 9: Strategic Planning Overview,From Xi'an to Mecca : The Road to Hajj - China | Featured Documentary,https://www.youtube.com/watch?v=D0bvJkF0Ji8
